customer_id,customer_name,city,state,customer_status,order_id,order_value,product_name,product_category,order_date,order_status,promotion_applied,seller_id,seller_name,seller_city,seller_rating
CUST10463,Ekavir Karnik,Hubli–Dharwad,Telangana,active,ORD100423,35556.02,Formal Shoes,Footwear,2026-02-05 12:53:12,returned,yes,SELL1005,Ahuja-Dutta Retail,Mau,4.5
CUST10484,Mugdha Narula,Aligarh,Andhra Pradesh,new,ORD100380,2267.54,Laptop,Electronics,2024-08-05 02:55:19,fulfilled,yes,SELL1001,Chaudry Ltd Retail,Gudivada,3.5
CUST10135,Priya Mallick,Bikaner,Goa,inactive,ORD100609,33270.15,Bracelet,Jewelry,2025-08-17 03:03:05,fulfilled,no,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10247,Naveen Ramachandran,Mysore,Uttarakhand,inactive,ORD100676,32925.8,Power Bank,Mobile Accessories,2024-09-10 09:52:51,fulfilled,no,SELL1013,Loke Ltd Retail,Narasaraopet,3.8
CUST10275,Aditya Kamdar,Dindigul,Arunachal Pradesh,new,ORD100344,24872.31,Saree,Fashion,2025-09-12 10:02:45,fulfilled,yes,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10468,Nisha Tandon,Rewa,Uttarakhand,inactive,ORD100109,18871.83,Silver Earrings,Jewelry,2026-01-01 05:30:20,fulfilled,yes,SELL1007,Rai Inc Retail,Hapur,3.6
CUST10069,Chandani Soman,Arrah,Karnataka,active,ORD100277,27786.68,Laptop,Electronics,2025-10-25 21:25:26,fulfilled,no,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10135,Radhika Chakrabarti,Firozabad,Haryana,inactive,ORD100677,40965.08,Badminton Racket,Sports,2025-03-04 13:37:49,fulfilled,yes,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10380,Harish Ghosh,Ramagundam,Kerala,dormant,ORD100570,34047.0,Doll,Toys & Games,2026-02-02 03:35:48,fulfilled,no,SELL1005,Ahuja-Dutta Retail,Mau,4.5
CUST10370,Mekhala Narain,Darbhanga,Uttar Pradesh,new,ORD100358,7405.45,Fiction Novel,Books,2025-05-05 11:37:36,fulfilled,yes,SELL1020,Rastogi-Pathak Retail,Durgapur,4.7
CUST10582,Lakshit Sachar,Motihari,West Bengal,active,ORD100598,35404.17,Exam Guide,Books,2025-01-19 08:29:01,fulfilled,yes,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10518,Arya Bhatnagar,Jorhat,Goa,inactive,ORD100390,20792.53,Saree,Fashion,2025-02-28 15:38:19,fulfilled,no,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10593,Bishakha Bala,Shivpuri,Assam,active,ORD100893,36265.56,Sneakers,Footwear,2024-08-27 00:53:00,fulfilled,no,SELL1022,"Dutta, Sami and Bhatt Retail",Eluru,4.0
CUST10257,Faqid Gokhale,Satara,Kerala,new,ORD100692,20578.98,Perfume,Beauty,2024-11-06 07:07:49,fulfilled,yes,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10134,Vyanjana Sood,Bangalore,Tripura,active,ORD100727,27712.46,Badminton Racket,Sports,2025-04-19 20:39:29,fulfilled,yes,SELL1001,Chaudry Ltd Retail,Gudivada,3.5
CUST10392,Abdul Morar,Karimnagar,Tripura,inactive,ORD100362,4912.21,Football,Sports,2024-12-16 01:34:24,fulfilled,yes,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10277,Yamini Rajagopalan,Narasaraopet,Tamil Nadu,inactive,ORD100596,44073.46,Face Cream,Beauty,2026-01-02 16:27:22,fulfilled,no,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10289,Teerth Chadha,Kolhapur,Tripura,new,ORD100427,18594.22,Screen Guard,Mobile Accessories,2024-08-24 04:34:46,fulfilled,yes,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
CUST10032,Inaya Kapur,Thane,Tripura,inactive,ORD100070,10321.96,T-Shirt,Fashion,2024-06-13 15:12:12,fulfilled,yes,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10473,Wridesh Jhaveri,Salem,Punjab,inactive,ORD100321,30772.24,Charger,Mobile Accessories,2024-06-15 14:40:10,fulfilled,no,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10263,Hemani Sur,Mahbubnagar,Andhra Pradesh,new,ORD100652,12144.24,Formal Shoes,Footwear,2025-06-14 07:40:54,fulfilled,no,SELL1007,Rai Inc Retail,Hapur,3.6
CUST10486,Amara Mangat,Bardhaman,Sikkim,new,ORD101065,23788.29,Bracelet,Jewelry,2025-08-30 12:32:39,fulfilled,yes,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10418,Arunima Golla,Pallavaram,Assam,active,ORD100107,32027.0,Fiction Novel,Books,2025-05-20 14:23:28,fulfilled,yes,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10180,Upma Lad,Bhind,Maharashtra,new,ORD101108,27113.66,Remote Car,Toys & Games,2024-08-18 15:36:26,processing,no,SELL1010,Boase Inc Retail,Ramagundam,3.8
CUST10561,Faraj Mistry,Phusro,Haryana,inactive,ORD100355,22413.25,Football,Sports,2025-08-03 16:44:24,fulfilled,no,SELL1010,Boase Inc Retail,Ramagundam,3.8
CUST10540,Rajata Dhillon,Phagwara,Manipur,active,ORD100950,43805.22,Lipstick,Beauty,2024-10-05 20:03:20,fulfilled,no,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10085,Qarin Bhargava,Aurangabad,Uttarakhand,active,ORD100342,18878.1,Silver Earrings,Jewelry,2025-10-21 13:12:11,returned,yes,SELL1005,Ahuja-Dutta Retail,Mau,4.5
CUST10408,Praneel Murty,Dhule,Odisha,inactive,ORD100354,28677.01,Cricket Bat,Sports,2024-09-09 12:41:16,processing,yes,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10078,Balveer Bumb,Ballia,Odisha,dormant,ORD100023,19157.53,Cookbook,Books,2025-06-30 14:08:19,returned,yes,SELL1007,Rai Inc Retail,Hapur,3.6
CUST10359,Dipta Sarin,Kharagpur,Odisha,new,ORD100043,38678.98,Lipstick,Beauty,2024-10-15 04:05:15,returned,yes,SELL1014,"Garg, Walla and Konda Retail",Surendranagar Dudhrej,4.5
CUST10698,Jeevika Rao,Alwar,Haryana,inactive,ORD100243,7921.06,Running Shoes,Footwear,2024-08-16 15:35:52,fulfilled,yes,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10118,Ganga Buch,Pimpri-Chinchwad,Himachal Pradesh,dormant,ORD100737,8036.09,Saree,Fashion,2026-01-12 23:58:50,fulfilled,yes,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10197,Vidhi Mitter,Tenali,Uttar Pradesh,new,ORD101135,8597.21,Laptop,Electronics,2025-01-10 14:41:29,processing,no,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10531,Charvi Loyal,Ulhasnagar,Assam,inactive,ORD100367,35119.72,Headphones,Electronics,2024-09-27 09:44:03,returned,no,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10765,Dominic Date,Bhimavaram,Nagaland,dormant,ORD100163,13237.58,T-Shirt,Fashion,2025-11-24 16:15:10,fulfilled,no,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10330,Triveni Srinivasan,Agartala,Punjab,inactive,ORD101115,36124.7,Perfume,Beauty,2025-10-13 14:53:20,fulfilled,yes,SELL1016,Balay LLC Retail,Agartala,3.8
CUST10189,Charan Loyal,Mahbubnagar,Punjab,inactive,ORD100332,43143.24,Perfume,Beauty,2024-06-20 05:58:56,fulfilled,no,SELL1020,Rastogi-Pathak Retail,Durgapur,4.7
CUST10349,Hamsini Chowdhury,Thane,Chhattisgarh,inactive,ORD100988,9853.15,Screen Guard,Mobile Accessories,2025-10-29 03:45:14,fulfilled,no,SELL1016,Balay LLC Retail,Agartala,3.8
CUST10129,Wyatt Modi,Dibrugarh,Bihar,active,ORD101172,17462.39,Puzzle,Toys & Games,2025-12-10 01:58:25,fulfilled,yes,SELL1018,"Tata, Randhawa and Shanker Retail",Bilaspur,4.7
CUST10501,Avi Agate,Firozabad,Jharkhand,active,ORD101001,40040.75,Lipstick,Beauty,2025-09-30 01:34:37,fulfilled,no,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10031,Zayyan Dube,Burhanpur,Assam,new,ORD100377,33814.75,Fiction Novel,Books,2025-05-04 07:58:22,returned,no,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10158,Faras Choudhury,Motihari,Mizoram,dormant,ORD100309,35972.86,T-Shirt,Fashion,2024-10-24 13:14:16,returned,yes,SELL1008,"Lalla, Bassi and Sharaf Retail",Burhanpur,4.1
CUST10674,Ekapad Johal,Muzaffarpur,Karnataka,new,ORD100155,25961.84,Board Game,Toys & Games,2026-01-12 00:02:20,fulfilled,no,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10069,Sachi Mane,Muzaffarpur,Nagaland,inactive,ORD100210,38235.37,Gold Necklace,Jewelry,2024-11-22 07:11:11,returned,no,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10604,Jyoti Solanki,Khandwa,Telangana,new,ORD100086,8861.07,Silver Earrings,Jewelry,2025-07-22 00:44:50,processing,yes,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10649,Ekalinga Chand,Tiruchirappalli,Maharashtra,active,ORD100168,10203.49,Mixer Grinder,Home & Kitchen,2024-08-03 12:51:14,fulfilled,yes,SELL1016,Balay LLC Retail,Agartala,3.8
CUST10694,Advik Mane,Etawah,Jharkhand,dormant,ORD100994,21587.99,Gold Necklace,Jewelry,2025-05-01 14:54:06,fulfilled,no,SELL1011,Kaul Inc Retail,Alwar,4.3
CUST10001,Girik Keer,Kamarhati,Uttar Pradesh,new,ORD100051,27813.13,Cookbook,Books,2024-10-22 04:48:48,fulfilled,no,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10718,Dayita Sarkar,Howrah,Haryana,dormant,ORD100438,24976.37,Cookbook,Books,2024-07-26 11:53:07,fulfilled,yes,SELL1000,"Choudhury, Bakshi and Maharaj Retail",Rajahmundry,4.5
CUST10271,Luke Mutti,Jodhpur,Meghalaya,new,ORD100549,10080.43,Gold Necklace,Jewelry,2025-02-02 21:25:29,fulfilled,yes,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10347,Qabil Nadkarni,Buxar,Bihar,active,ORD100490,31793.9,Power Bank,Mobile Accessories,2026-05-18 01:53:18,fulfilled,yes,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
CUST10347,Luke Biswas,Phagwara,Rajasthan,dormant,ORD100425,7491.59,Saree,Fashion,2024-09-25 00:07:00,returned,no,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10100,Zashil Shan,Davanagere,Madhya Pradesh,inactive,ORD100135,42597.84,Cookbook,Books,2026-03-14 08:05:18,lost_parcel,yes,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10624,Gaurav Rout,Muzaffarpur,Madhya Pradesh,dormant,ORD101191,2662.1,Yoga Mat,Sports,2025-02-07 20:08:27,returned,yes,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
CUST10026,Manbir Ahluwalia,Khandwa,Haryana,active,ORD100054,30373.64,Lipstick,Beauty,2024-10-04 03:31:40,fulfilled,no,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10447,Michael Saran,Nagaon,Rajasthan,new,ORD100078,27830.9,Earphones,Mobile Accessories,2024-12-16 07:27:47,fulfilled,yes,SELL1014,"Garg, Walla and Konda Retail",Surendranagar Dudhrej,4.5
CUST10408,Manya Merchant,Mathura,Meghalaya,dormant,ORD100430,43974.46,Gold Necklace,Jewelry,2025-03-16 06:11:27,fulfilled,no,SELL1009,Memon Ltd Retail,Gangtok,3.5
CUST10386,Xiti Pandya,Sikar,West Bengal,inactive,ORD100184,29887.9,Formal Shoes,Footwear,2025-12-17 21:24:55,fulfilled,yes,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10705,Edhitha Savant,Motihari,Manipur,active,ORD100056,22398.15,Lipstick,Beauty,2026-04-17 09:56:01,lost_parcel,yes,SELL1020,Rastogi-Pathak Retail,Durgapur,4.7
CUST10472,Yashica Kanda,Dhule,Himachal Pradesh,dormant,ORD100942,37712.72,Mixer Grinder,Home & Kitchen,2024-06-30 18:02:26,fulfilled,no,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10710,George Sawhney,Karawal Nagar,Mizoram,inactive,ORD100850,26299.54,Water Bottle,Home & Kitchen,2024-09-17 04:58:49,fulfilled,yes,SELL1014,"Garg, Walla and Konda Retail",Surendranagar Dudhrej,4.5
CUST10168,Lakshit Sanghvi,Alappuzha,Manipur,inactive,ORD101163,38286.34,Cookbook,Books,2026-03-13 14:28:21,fulfilled,no,SELL1020,Rastogi-Pathak Retail,Durgapur,4.7
CUST10565,Hardik Nayak,Durgapur,Arunachal Pradesh,inactive,ORD100218,1473.92,Screen Guard,Mobile Accessories,2024-12-29 08:34:55,fulfilled,yes,SELL1014,"Garg, Walla and Konda Retail",Surendranagar Dudhrej,4.5
CUST10582,Diya Wason,Dhule,Odisha,inactive,ORD100844,18828.19,Earphones,Mobile Accessories,2025-11-03 23:17:01,fulfilled,no,SELL1022,"Dutta, Sami and Bhatt Retail",Eluru,4.0
CUST10396,Bhavna Sarma,Bhilai,Andhra Pradesh,inactive,ORD100113,2250.08,Bracelet,Jewelry,2025-09-21 21:13:44,fulfilled,yes,SELL1012,Patla-Gaba Retail,Raichur,3.5
CUST10750,Chatura Dora,Kollam,Karnataka,dormant,ORD100548,25615.74,Formal Shoes,Footwear,2025-04-03 08:39:04,processing,yes,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10434,Raagini Basak,Moradabad,Arunachal Pradesh,dormant,ORD101018,16986.12,Cookware Set,Home & Kitchen,2026-01-26 12:22:57,fulfilled,no,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10692,Zayan Taneja,Patiala,Punjab,new,ORD101072,2010.22,Hair Oil,Beauty,2024-08-23 12:10:04,fulfilled,no,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10520,Harinakshi Panchal,Bokaro,West Bengal,dormant,ORD100174,3728.95,Saree,Fashion,2024-09-08 19:09:49,fulfilled,yes,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10626,Naveen Tella,Dibrugarh,Odisha,new,ORD101022,32710.52,Cookbook,Books,2024-07-12 14:39:26,lost_parcel,no,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10237,Aditya Contractor,Amroha,Haryana,active,ORD100615,13691.89,Puzzle,Toys & Games,2026-04-23 01:47:54,fulfilled,yes,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10427,Radhika Jaggi,Hindupur,Himachal Pradesh,new,ORD100513,31273.94,Smart Watch,Electronics,2025-01-23 21:19:29,processing,yes,SELL1012,Patla-Gaba Retail,Raichur,3.5
CUST10763,Ikbal Dugal,Dehradun,Manipur,new,ORD100461,29552.88,Hair Oil,Beauty,2025-05-17 12:39:34,fulfilled,no,SELL1007,Rai Inc Retail,Hapur,3.6
CUST10193,Edhitha Srinivasan,Karaikudi,Uttar Pradesh,inactive,ORD100286,30412.81,Sneakers,Footwear,2025-12-02 01:33:41,fulfilled,no,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10759,Tristan Uppal,Amroha,Kerala,dormant,ORD100381,8298.73,Tablet,Electronics,2025-03-20 08:01:54,fulfilled,yes,SELL1022,"Dutta, Sami and Bhatt Retail",Eluru,4.0
CUST10555,Anjali Patel,Raurkela Industrial Township,Arunachal Pradesh,active,ORD101007,29082.61,Jeans,Fashion,2024-12-31 16:04:25,processing,yes,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10020,Nilima Pathak,Bhatpara,Maharashtra,new,ORD100670,3275.99,Exam Guide,Books,2025-10-08 15:01:05,lost_parcel,no,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10043,Udarsh Krishnan,Panipat,Maharashtra,active,ORD100534,25042.08,Power Bank,Mobile Accessories,2026-04-16 01:46:30,fulfilled,no,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10253,Jairaj Dar,Mahbubnagar,Chhattisgarh,new,ORD100909,14446.42,Doll,Toys & Games,2025-03-08 13:08:08,lost_parcel,yes,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
CUST10564,Ganga Sodhi,Durgapur,Andhra Pradesh,new,ORD100292,15044.31,Remote Car,Toys & Games,2025-07-22 00:04:40,fulfilled,no,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10257,Libni Doshi,Vadodara,Chhattisgarh,dormant,ORD100123,44448.02,Cookbook,Books,2025-06-14 16:08:53,returned,yes,SELL1022,"Dutta, Sami and Bhatt Retail",Eluru,4.0
CUST10470,Vyanjana Nagi,Bathinda,Himachal Pradesh,dormant,ORD100582,25473.2,Hair Oil,Beauty,2024-06-28 15:22:04,lost_parcel,yes,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10579,Dayamai Sastry,Adoni,Kerala,inactive,ORD100140,2559.91,Yoga Mat,Sports,2025-12-10 08:56:17,fulfilled,yes,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10250,Abhiram Kaul,Saharanpur,Andhra Pradesh,inactive,ORD100735,18215.9,Remote Car,Toys & Games,2025-06-07 21:45:08,processing,no,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10011,Gayathri Balakrishnan,Anantapur,Goa,inactive,ORD100081,15512.49,Sandals,Footwear,2025-06-03 05:21:07,fulfilled,no,SELL1017,Kakar PLC Retail,Rajpur Sonarpur,4.4
CUST10323,Oscar Soman,Maheshtala,Nagaland,dormant,ORD100881,44584.8,Jacket,Fashion,2025-03-15 06:08:02,fulfilled,yes,SELL1014,"Garg, Walla and Konda Retail",Surendranagar Dudhrej,4.5
CUST10143,Advik Dara,Kharagpur,Tripura,active,ORD100739,14934.48,Smartphone,Electronics,2025-04-29 14:09:10,returned,yes,SELL1006,Dugal-Kale Retail,Kota,4.8
CUST10384,Chasmum Rana,Mira-Bhayandar,Nagaland,inactive,ORD101101,2474.36,Remote Car,Toys & Games,2024-06-21 11:23:16,fulfilled,yes,SELL1007,Rai Inc Retail,Hapur,3.6
CUST10547,Reyansh Bandi,Udupi,Assam,new,ORD100908,18553.8,Sneakers,Footwear,2024-07-03 17:07:05,fulfilled,yes,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10365,Darsh Ramaswamy,Saharanpur,Odisha,dormant,ORD101166,30670.88,Mixer Grinder,Home & Kitchen,2024-07-04 10:24:56,fulfilled,yes,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10267,Banjeet Deol,Pudukkottai,Madhya Pradesh,inactive,ORD100936,2738.21,Mixer Grinder,Home & Kitchen,2026-01-14 13:25:34,returned,no,SELL1015,Madan-Kanda Retail,Pimpri-Chinchwad,4.3
CUST10519,Forum Sarraf,Chinsurah,Uttarakhand,new,ORD100371,12018.94,Smartphone,Electronics,2026-02-19 04:34:19,fulfilled,no,SELL1012,Patla-Gaba Retail,Raichur,3.5
CUST10021,Yatan Sodhi,Panvel,Uttar Pradesh,dormant,ORD100889,1969.82,Doll,Toys & Games,2025-08-13 17:49:11,fulfilled,no,SELL1008,"Lalla, Bassi and Sharaf Retail",Burhanpur,4.1
CUST10007,Aarnav Malhotra,Bikaner,Nagaland,inactive,ORD100156,31710.34,Exam Guide,Books,2024-12-01 05:17:43,lost_parcel,no,SELL1011,Kaul Inc Retail,Alwar,4.3
CUST10307,Tristan Mall,Lucknow,Assam,new,ORD100991,20555.13,Lipstick,Beauty,2025-07-12 17:29:42,fulfilled,yes,SELL1011,Kaul Inc Retail,Alwar,4.3
CUST10016,Ekbal Dube,Jaunpur,Tamil Nadu,dormant,ORD100621,32801.41,Face Cream,Beauty,2025-02-02 04:23:07,fulfilled,no,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10256,Vihaan Desai,Navi Mumbai,Telangana,inactive,ORD101037,44564.82,Perfume,Beauty,2024-06-30 14:00:10,fulfilled,no,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10156,Quincy Tata,Kishanganj,Bihar,dormant,ORD100244,8827.25,Silver Earrings,Jewelry,2024-12-09 20:38:00,fulfilled,no,SELL1013,Loke Ltd Retail,Narasaraopet,3.8
CUST10333,Ekiya Babu,Bilaspur,Arunachal Pradesh,active,ORD100158,15537.39,Football,Sports,2024-08-26 23:42:46,lost_parcel,yes,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10296,Mohammed Prabhu,Kulti,Goa,inactive,ORD100745,37996.59,Badminton Racket,Sports,2025-06-12 19:55:55,fulfilled,yes,SELL1004,Saini and Sons Retail,Giridih,4.6
CUST10732,Faqid Goel,Madhyamgram,Tripura,new,ORD100192,17057.97,Headphones,Electronics,2025-08-01 09:33:12,returned,yes,SELL1003,Tiwari PLC Retail,Kishanganj,3.8
CUST10747,Aditya Som,Malegaon,Punjab,new,ORD100533,43217.96,Water Bottle,Home & Kitchen,2026-02-01 13:57:52,processing,yes,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
CUST10498,Gunbir Wali,Bhiwani,Punjab,active,ORD100903,29742.24,Mixer Grinder,Home & Kitchen,2026-05-03 14:18:21,fulfilled,yes,SELL1023,"Sidhu, Wadhwa and Krishnamurthy Retail",Raipur,3.7
CUST10136,Ayush Dar,Kumbakonam,Assam,inactive,ORD101003,35226.1,Bracelet,Jewelry,2025-08-28 16:54:21,fulfilled,no,SELL1019,Koshy Ltd Retail,Bhimavaram,3.5
CUST10377,Patrick Basak,Jaipur,Arunachal Pradesh,dormant,ORD101069,19346.2,Silver Earrings,Jewelry,2026-03-19 04:34:10,fulfilled,no,SELL1013,Loke Ltd Retail,Narasaraopet,3.8
CUST10061,Aarnav Chander,Secunderabad,West Bengal,active,ORD100413,36347.92,Yoga Mat,Sports,2024-07-08 17:19:55,fulfilled,yes,SELL1010,Boase Inc Retail,Ramagundam,3.8
CUST10011,Luke Dhar,Nashik,Jharkhand,active,ORD101186,35079.55,Cookware Set,Home & Kitchen,2026-04-11 01:59:24,fulfilled,yes,SELL1008,"Lalla, Bassi and Sharaf Retail",Burhanpur,4.1
CUST10696,Eiravati Saha,Jalgaon,Jharkhand,inactive,ORD100327,20225.75,Doll,Toys & Games,2025-03-08 22:29:20,fulfilled,yes,SELL1024,"Yadav, Loke and Oak Retail",Durg,4.9
CUST10303,Radha Chaudhari,Raiganj,Goa,new,ORD100128,1790.43,Yoga Mat,Sports,2025-11-10 13:52:54,returned,yes,SELL1002,Balay-Balan Retail,Bellary,3.9
CUST10564,Alka Jhaveri,Panihati,Uttarakhand,dormant,ORD100694,23714.16,Remote Car,Toys & Games,2024-11-30 11:25:21,fulfilled,yes,SELL1012,Patla-Gaba Retail,Raichur,3.5
CUST10634,Dalaja Kade,Rajpur Sonarpur,Maharashtra,new,ORD100630,11417.13,Gold Necklace,Jewelry,2026-04-23 22:53:33,processing,yes,SELL1021,"Tak, Chand and Batta Retail",Jamnagar,4.5
